customer_id,fee_waiver,rm_call,complaint_escalation,rate_offer,do_nothing,drift_state,service_shock
C10000,0.21934108108370817,0.16765833322758472,0.22013712663462387,0.2915591389614339,0.1947121734496452,stable,0
C10001,0.10962167617526501,0.3795125734183233,0.5128451379928227,0.2863017844176533,0.12712989575761185,stable,0
C10002,0.456300426080021,0.23940893796689602,0.5154725266648816,0.4081060331027278,0.13872206074373317,declining,1
C10003,0.11069475257126349,0.11632127538925127,0.2247621124979075,0.1456262644210407,0.23262770990027842,stable,0
C10004,0.39499189420178854,0.5739632116345693,0.36391917387300887,0.15658810179548974,0.10063114337013541,declining,0
C10005,0.17386001062677597,0.17966799974011907,0.5399070907504063,0.41862712426906945,0.1356855595600558,stable,1
C10006,0.260162801681532,0.23800752267594988,0.5127716746756191,0.21830842321787874,0.19493739882926148,declining,1
C10007,0.10522052304927812,0.19413842095683553,0.5597415827969794,0.33273902105953085,0.05066891677374699,declining,0
C10008,0.1617103842098484,0.2281164341286162,0.04951388147032028,0.07462499008991658,0.13520733879449578,stable,0
C10009,0.3736655034782776,0.5782516401064859,0.034044479299848746,0.452056099070191,0.0940396211006816,stable,0
C10010,0.1568059645376797,0.42161957751449214,0.46456304480300636,0.15996427175844544,0.16662781022884313,stable,1
C10011,0.3936895284277066,0.048420978280636226,0.49707030389594176,0.3852905237047733,0.16245248190657946,stable,0
C10012,0.21917646544016944,0.23229072065177742,0.19365922021309573,0.3186922480312626,0.06449478905389414,stable,0
C10013,0.22787722607811514,0.5738687064393634,0.6095098693757204,0.11727506180957044,0.22032335023165636,stable,0
C10014,0.4303532876068598,0.46487944157371613,0.10846168905210563,0.4649181420163311,0.1524505545753005,stable,0
C10015,0.10159564351144253,0.17498951063170623,0.02412734404229075,0.07861300127383183,0.15561050650401834,declining,0
C10016,0.06773675157940263,0.0900126253378833,0.47707060953071984,0.35136048761661864,0.2142143542967394,declining,0
C10017,0.11069714785556635,0.1677724650717278,0.5165061592749777,0.13059988366667752,0.15915352022959683,stable,0
C10018,0.717073885965233,0.6213765765449184,0.5552501183569081,0.325452639602631,0.11790603503338387,stable,1
C10019,0.19695671867823203,0.5643314476611098,0.09904225631305993,0.49997307774752553,0.15383052344150744,improving,0
C10020,0.16122846328595683,0.4622802035297631,0.1921978697447974,0.3531118811665392,0.14051791053288812,stable,0
C10021,0.09349908387532335,0.1325165497304559,0.07279865463249686,0.6351592620611755,0.03626422971469985,stable,0
C10022,0.5004359745777649,0.3313473816503789,0.15809489581067265,0.3759895381753665,0.23116186342016037,stable,0
C10023,0.6458637554783389,0.2174504679064369,0.05535470835193189,0.06884613585508714,0.16265087753793242,stable,0
C10024,0.1743393468681907,0.21155780400949506,0.5885493758501625,0.3638321706135207,0.15087084047212132,stable,0
C10025,0.38509291152406777,0.5732274247024308,0.6157157615842056,0.2506262743672456,0.11740381070765958,stable,0
C10026,0.4334888134000993,0.6011980486778871,0.5513156700894979,0.46513478534648967,0.27022770407576113,stable,1
C10027,0.44841128855325907,0.545291080438639,0.2189206621098962,0.05725476216683675,0.09901433692330955,stable,0
C10028,0.5040956063851005,0.3972486150721014,0.1360974116550267,0.20758083450538312,0.09624816192898333,stable,0
C10029,0.7413409799431419,0.0373276717195163,0.6399064309456974,0.39864602146217293,0.06262479397797162,stable,0
C10030,0.2072550891378546,0.6272829794501249,0.6111810008122092,0.1744033725337905,0.10203283771462471,stable,0
C10031,0.5792695069343439,0.4585751094834127,0.5379560194107539,0.13747213405180164,0.16552349776015574,declining,0
C10032,0.21320782175841646,0.21409703057567805,0.1028501437432647,0.02365646183653594,0.10822906609733071,stable,0
C10033,0.16436878837973165,0.3831027032939448,0.18930989527315523,0.10864557473800107,0.16296304067676007,stable,0
C10034,0.5063510611101526,0.20970672632246945,0.03444387131952707,0.4288434685352795,0.051563418106321854,stable,0
C10035,0.24183243641266144,0.5034835392974157,0.1343542134368634,0.10830468114972655,0.15241733965819543,improving,0
C10036,0.41302628665927293,0.06021339369387024,0.5740614281054738,0.03886830849634673,0.34172115943201686,improving,0
C10037,0.2487724893103918,0.10173530111502682,0.4751132034699803,0.1346017618556859,0.10990293616686558,stable,0
C10038,0.3876797634036311,0.41058228505277616,0.19189434159428775,0.17431047579549572,0.22059818501176937,stable,0
C10039,0.7738206326231641,0.23242984667478447,0.27117748802412917,0.26019596696219904,0.25458138191357593,stable,0
C10040,0.16832934121500645,0.5326225285580555,0.15978477843550024,0.342657469134242,0.23343893785601094,stable,0
C10041,0.40296370602132103,0.12679630679636836,0.6421009191299698,0.3960087137774035,0.06528994888181895,declining,0
C10042,0.4633608264614078,0.16788748879623064,0.22514421576935553,0.1735765976634133,0.12088081581963078,declining,0
C10043,0.16349738909927408,0.12422464331751124,0.1253790641628559,0.12751150193149913,0.16786189377286045,stable,0
C10044,0.4771559458237761,0.4261934739410447,0.530365418320061,0.1815233729387875,0.18902126178798895,stable,0
C10045,0.13890903490243178,0.10572973083080475,0.45986735140365176,0.04199520639975324,0.1368437199413077,declining,0
C10046,0.4171632826505267,0.12573669117130895,0.13513422019875762,0.11355055569778869,0.10482978462008291,stable,0
C10047,0.1954066008078938,0.6017698459047067,0.18040030191899878,0.16632982499377083,0.15991336336265863,stable,0
C10048,0.16743777664910833,0.6294494741168404,0.4935399018814125,0.16938309193165738,0.01,stable,0
C10049,0.5953673195668948,0.43763662047038127,0.161062163098458,0.6727495679455219,0.10575539406127957,stable,0
C10050,0.36005711007821506,0.4877564901628588,0.16625883616725298,0.43964296064923486,0.18975020678324037,stable,0
C10051,0.08116880686753229,0.23533252769949856,0.574221378578875,0.11500438287198077,0.10370725665715075,stable,0
C10052,0.21076986357279168,0.2158208485240614,0.5234690365502146,0.2856910376543651,0.18643308619026358,stable,1
C10053,0.19426789330879504,0.1839217477584426,0.21025934661233878,0.3103832796490631,0.14254779101531728,stable,0
C10054,0.4853068905307658,0.1777056700113091,0.1593391799686201,0.17329082228032963,0.15676793481938534,stable,0
C10055,0.5287222126411127,0.4395751778838628,0.1822874014261036,0.22657174097917046,0.12063474284964004,declining,0
C10056,0.1333038519655238,0.17343552106167578,0.18330532313666154,0.21504932012493672,0.16679899674525756,improving,0
C10057,0.543541290064159,0.43182016108484844,0.0742397531465384,0.10986278964252638,0.07007252874821195,declining,0
C10058,0.42962239303108474,0.11982875876371185,0.2856680650352913,0.21810389563735294,0.09829794740921366,stable,0
C10059,0.14977423701307838,0.12201125073152522,0.07343438692869635,0.30733788261356837,0.1553979203345999,stable,0
C10060,0.13190387770856232,0.24415705263760556,0.14715566091946913,0.11313171287093857,0.1973062699728466,stable,0
C10061,0.21798232715251134,0.0855294562459585,0.26104874542559087,0.12083038848425837,0.17036000291172662,improving,0
C10062,0.3860205489881648,0.4206574645163074,0.2153391941082193,0.38810769769149045,0.11260668118095368,improving,0
C10063,0.3890845648370171,0.42560849655905003,0.48542997710545016,0.6055968186328413,0.13639289016897077,declining,1
C10064,0.5160325935532071,0.4631208582191654,0.11439951894944289,0.2169526611352172,0.05304620200625054,declining,0
C10065,0.2055377171568232,0.11778650570797998,0.11484480658554529,0.08814085917958556,0.214273240726636,stable,0
